SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
367,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),UTTAR PURVA GUJARAT UCHCH KELAVANI MANDAL BED COLL (Id: C6640),Mahesana,Teacher Training,14,34,48,1,3,4,1,0,12,7.34
368,Gujarat,Junagadh Agricultural University (Id: U0140),POLYTECHNIC IN AGRICULTURAL ENGINEERING TARGHADIA (Id: C50675),Rajkot,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
369,Gujarat,Junagadh Agricultural University (Id: U0140),Polytechnic in Agriculture Dhari (Id: C6350),Amreli,Technical/Polytechnic,83,3,86,3,0,3,1,0,28.67,12.89
370,Gujarat,Junagadh Agricultural University (Id: U0140),Polytechnic in AgroProcessing Junagadh (Id: C6347),Junagadh,Technical/Polytechnic,55,34,89,3,0,3,1,0,29.67,13.23
371,Gujarat,Junagadh Agricultural University (Id: U0140),POLYTECHNIC IN ANIMAL HUSBANDARY JU0GADH (Id: C50674),Junagadh,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
372,Gujarat,Junagadh Agricultural University (Id: U0140),Polytechnic in Home Science Amreli (Id: C6344),Amreli,Technical/Polytechnic,0,66,66,1,3,4,0,0,16.5,5.5
373,Gujarat,Junagadh Agricultural University (Id: U0140),Polytechnic in Horticulture Junagadh (Id: C6349),Junagadh,Technical/Polytechnic,62,19,81,4,0,4,0,0,20.25,6.75
374,Gujarat,Krantiguru Shyamji Krishna Verma Kachchh University Kachchh (Id: U0142),Anjar Education Society Sanchalit P.G.D.H.R.M. College (Id: C4116),Kachchh,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
375,Gujarat,Krantiguru Shyamji Krishna Verma Kachchh University Kachchh (Id: U0142),ANJAR EDUCATION SOCIETY SANCHALIT PGDSPM COLLEGE (Id: C50256),Kachchh,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
376,Gujarat,Krantiguru Shyamji Krishna Verma Kachchh University Kachchh (Id: U0142),Dr.H R Gajwani College of Education (Id: C4124),Kachchh,Teacher Training,9,89,98,1,6,7,1,1,14,11.34
377,Gujarat,Krantiguru Shyamji Krishna Verma Kachchh University Kachchh (Id: U0142),Shri Bhuj Mercantile CoOp Bank Charitable Trust Sanchalit Nursing College (Id: C4112),Kachchh,Nursing,43,139,182,0,18,18,1,0,10.12,6.71
378,Gujarat,Maharaja Krishnakumarsinhji Bhavnagar University (Id: U0124),Shree Sahjanand Institute of Nursing College (Id: C7179),Bhavnagar,Nursing,19,164,183,2,3,5,0,1,36.6,15.54
379,Gujarat,Maharaja Krishnakumarsinhji Bhavnagar University (Id: U0124),Shree Swaminarayan College of Education (Id: C7146),Bhavnagar,Teacher Training,40,50,90,3,4,7,0,0,12.86,4.29
380,Gujarat,Navsari Agricultural University (Id: U0145),POLYTECHNIC IN AGRICULTURAL ENGINEERING DEDIAPADA (Id: C48405),Narmada,Technical/Polytechnic,93,1,94,5,0,5,1,1,18.8,12.94
381,Gujarat,Navsari Agricultural University (Id: U0145),POLYTECHNIC IN AGRICULTURE COOPERATION BANKING AND MARKETING WAGHAI (Id: C48408),The Dangs,Technical/Polytechnic,60,18,78,4,0,4,1,0,19.5,9.84
382,Gujarat,Navsari Agricultural University (Id: U0145),POLYTECHNIC IN AGRICULTURE MAKTAMPUR (Id: C48406),Bharuch,Technical/Polytechnic,66,0,66,4,0,4,1,1,16.5,12.17
383,Gujarat,Navsari Agricultural University (Id: U0145),POLYTECHNIC IN AGRICULTURE VYARA (Id: C48407),Tapi,Technical/Polytechnic,39,9,48,5,1,6,1,0,8,6
384,Gujarat,Navsari Agricultural University (Id: U0145),POLYTECHNIC IN ANIMAL HUSBANDARY 0VSARI (Id: C48410),Navsari,Technical/Polytechnic,29,1,30,1,0,1,1,1,30,16.67
385,Gujarat,Navsari Agricultural University (Id: U0145),POLYTECHNIC IN HORTICULTURE 0VSARI (Id: C48409),Navsari,Technical/Polytechnic,57,39,96,3,2,5,1,1,19.2,13.07
386,Gujarat,Navsari Agricultural University (Id: U0145),POLYTECHNIC IN HORTICULTURE PARIA (Id: C48411),Valsad,Technical/Polytechnic,16,6,22,7,0,7,1,0,3.15,4.39
387,Gujarat,Nirma University Ahmedabad (Id: U0146),Institute of Diploma studies Nirma University (Id: C438),Ahmadabad,Technical/Polytechnic,1528,453,1981,67,61,128,1,1,15.48,11.83
388,Gujarat,R K University Rajkot (Id: U0647),School of Diploma Studies (Id: C33),Rajkot,Technical/Polytechnic,1370,113,1483,48,19,67,0,0,22.14,7.38
389,Gujarat,Sardar Patel University Vallabh Vidyanagar (Id: U0148),GH Patel Nursing School Karamsad (Id: C1216),Anand,Nursing,0,88,88,1,11,12,1,0,7.34,5.78
390,Gujarat,Sardar Patel University Vallabh Vidyanagar (Id: U0148),Smt. Pushpaben Kanaiyalal Inamdar College of Education Bakrol (Id: C1171),Anand,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
391,Gujarat,Saurashtra University Rajkot (Id: U0151),0VYUG COLLEGE OF EDUCATION SUKHPUR (Id: C805),Junagadh,Teacher Training,43,57,100,6,3,9,1,0,11.12,7.04
392,Gujarat,Saurashtra University Rajkot (Id: U0151),SADAR PATEL TEL.KELVANI MANDAL MAHILA B.ED.COLLEGEJETPUR (Id: C1024),Rajkot,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
393,Gujarat,Saurashtra University Rajkot (Id: U0151),SADHU VASWANI COLLEGE FOR PERAMEDICAL COURSESRAJKOT (Id: C787),Rajkot,Technical/Polytechnic,5,38,43,2,2,4,0,1,10.75,6.92
394,Gujarat,Saurashtra University Rajkot (Id: U0151),SHREE A.V.J. OZA INSTITUTE OF B.ED. COLLEGE LAKHTAR (Id: C1003),Surendranagar,Teacher Training,47,51,98,7,1,8,1,0,12.25,7.42
395,Gujarat,Saurashtra University Rajkot (Id: U0151),SHRI TEJENDRA PRASADJI B.ED. COLLEGECHARAVADA (Id: C1008),Surendranagar,Nursing,55,45,100,3,5,8,0,1,12.5,7.5
396,Gujarat,Saurashtra University Rajkot (Id: U0151),V.k.KAMDAR B.ED.COLLEGE RAJKOT (Id: C905),Rajkot,Teacher Training,36,69,105,8,2,10,1,1,10.5,10.17
397,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Borsad Kelavani Mandal (Id: C1145),Anand,Teacher Training,11,19,30,4,2,6,1,0,5,5
398,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Rutam (Id: C1127),Vadodara,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
399,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Sarvajanik B. Ed. College (Id: C1106),Mahesana,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
400,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Shri Bhartiya Yog Vedant Tapovan (Id: C1119),Mahesana,Teacher Training,0,0,0,0,0,0,0,0,0,0
401,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Shri Bhaskara Vaidic Astrology Center (Id: C1132),Surat,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
402,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Shri Brahmachari wadi Sanskrit Pathshalal (Id: C1143),Ahmadabad,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
403,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Shri K. K. Shastri Arts College (Id: C1142),Ahmadabad,Teacher Training,24,7,31,3,1,4,0,0,7.75,2.59
404,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Shri Muni Patanjali Yog Kendra (Id: C1146),Junagadh,Teacher Training,0,0,0,0,0,0,0,0,0,0
405,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Shri Narayan Ashram (Id: C1110),Surat,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
406,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Shri Ram Yog Kendra (Id: C1140),Rajkot,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
407,Gujarat,Shree Somnath Sanskrit University Junagarh (Id: U0152),Shri Unnatpuram Sanskrit Mahavidyalaya (Id: C1111),Junagadh,Teacher Training,0,0,0,0,0,0,0,0,0,0
408,Gujarat,Veer Narmad South Gujarat University Surat (Id: U0153),Sardar Patel B. Ed. College (English Medium) (Id: C526),Surat,Teacher Training,17,83,100,4,5,9,0,1,11.12,7.04
409,Gujarat,Veer Narmad South Gujarat University Surat (Id: U0153),The South Gujarat Institute of Medical Sciences (PGDMLT) (Id: C670),Navsari,Technical/Polytechnic,0,21,21,1,1,2,1,0,10.5,6.84
410,Haryana,Ch. Devi Lal University Sirsa (Id: U0160),Mata Harki Devi College of Education for Women VillOdhan (Id: C22417),Sirsa,Teacher Training,0,198,198,7,10,17,0,1,11.65,7.22
411,Haryana,Ch. Devi Lal University Sirsa (Id: U0160),Shaheed Baba Deep Singh College of Education Vill. Aharwan Ratia (Id: C22433),Fatehabad,Teacher Training,67,131,198,4,8,12,0,0,16.5,5.5
412,Haryana,Ch. Devi Lal University Sirsa (Id: U0160),Surya College of Education Vill. Baliala Tohana (Id: C22425),Fatehabad,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
413,Haryana,Ch. Devi Lal University Sirsa (Id: U0160),Tirupati College of Education Sardulgarh Road Ratia (Id: C22451),Fatehabad,Teacher Training,148,149,297,10,13,23,0,0,12.92,4.31
414,Haryana,Kurukshetra University Kurukshetra (Id: U0164),Aakash College of Education Hisar (Id: C10683),Hisar,Teacher Training,32,66,98,7,2,9,1,1,10.89,10.3
415,Haryana,Kurukshetra University Kurukshetra (Id: U0164),Aakash College of Education Jind (Id: C10650),Jind,Teacher Training,59,140,199,5,4,9,0,1,22.12,10.71
416,Haryana,Kurukshetra University Kurukshetra (Id: U0164),Haryana College of Education (Id: C10882),Jind,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
417,Haryana,Kurukshetra University Kurukshetra (Id: U0164),Lala Ami Chand Monga Memorial College of Education (Id: C10592),Ambala,Teacher Training,113,119,232,13,9,22,0,0,10.55,3.52
418,Haryana,Kurukshetra University Kurukshetra (Id: U0164),Lord Krishna College of Education (Id: C10714),Ambala,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
419,Haryana,Kurukshetra University Kurukshetra (Id: U0164),Panipat Institute of Engg. and Technology (Id: C10575),Panipat,Technical/Polytechnic,1700,751,2451,109,67,176,0,0,13.93,4.65
420,Haryana,Kurukshetra University Kurukshetra (Id: U0164),R.S. Memorial College of Education (Id: C10774),Panipat,Teacher Training,51,147,198,3,13,16,1,1,12.38,10.8
421,Haryana,Kurukshetra University Kurukshetra (Id: U0164),Shanti Niketan College of Education Agroha Mor (Id: C10547),Hisar,Teacher Training,0,0,0,0,0,0,0,0,0,0
422,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),BASANT LAL MEMORIAL COLLEGE OF EDUCATION (Id: C28460),Gurgaon,Teacher Training,0,0,0,0,0,0,0,0,0,0
423,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),B.S. A0GPURIA INSTITUTE OF EDUCATION (Id: C28064),Faridabad,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
424,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),CH. KATAR SINGH COLLEGE OF EDUCATION (Id: C28128),Sonipat,Teacher Training,0,0,0,0,0,0,0,0,0,0
425,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),GOVERNMENT COLLEGE OF EDUCATION 0R0UL (Id: C28146),Mahendragarh,Teacher Training,10,88,98,2,0,2,1,0,49,19.67
426,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),H.D. COLLEGE OF EDUCATION (Id: C28401),Jhajjar,Teacher Training,24,76,100,7,0,7,0,1,14.29,8.1
427,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),H.J. INSTITUTE OF EDUCAITON and TECHNOLOGY (Id: C28150),Mahendragarh,Teacher Training,0,0,0,0,0,0,0,0,0,0
428,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),J.R. KISSAN COLLEGE OF EDUCATION (Id: C28051),Rohtak,Teacher Training,0,0,0,0,0,0,0,0,0,0
429,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),MODERN COLLEGE OF EDUCATION PALI (Id: C28333),Rewari,Teacher Training,23,72,95,5,4,9,1,0,10.56,6.86
430,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),RAM JAS COLLEGE OF EDUCATION (Id: C28149),Sonipat,Teacher Training,14,36,50,4,4,8,1,1,6.25,8.75
431,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),R.P.S. COLLEGE OF EDUCATION (Id: C28402),Mahendragarh,Teacher Training,39,61,100,6,2,8,1,0,12.5,7.5
432,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),SARDAR PARTEL COLLEGE OF EDUCATION (Id: C28493),Gurgaon,Teacher Training,37,159,196,3,9,12,1,0,16.34,8.78
433,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),SHIV KARAN COLLEGE OF EDUCATION (Id: C28217),Sonipat,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
434,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),SHRI SAI BABA COLLEGE OF EDUCATION (Id: C28118),Jhajjar,Teacher Training,20,78,98,3,4,7,1,1,14,11.34
435,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),Vaish Arya Kanya Mahavidyalya Technology and Managemen (Id: C28482),Jhajjar,Technical/Polytechnic,0,55,55,1,12,13,0,1,4.24,4.75
436,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),VAISH COLLEGE OF EDUCATION Rohtak (Id: C32597),Rohtak,Teacher Training,81,253,334,3,19,22,1,0,15.19,8.4
437,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),V.B. COLLEGE OF EDUCATION (Id: C28381),Rohtak,Teacher Training,49,148,197,4,11,15,0,1,13.14,7.72
438,Haryana,Maharshi Dayanand University Rohtak (Id: U0167),VENKTESHWARA COLLEGE OF EDUCAITON (Id: C28354),Sonipat,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
439,Haryana,Pt. Bhagat Dyal University of Health Science Rohtak (Id: U0174),Dr. Jai Parkash Sharma College of Nursing Yamunanagar (Id: C30772),Yamunanagar,Nursing,0,0,0,0,0,0,0,0,0,0
440,Haryana,Pt. Bhagat Dyal University of Health Science Rohtak (Id: U0174),Shrbati College of Nursing Gayushala Road Mahandergarh (Id: C30751),Mahendragarh,Nursing,0,0,0,0,0,0,1,0,0,3.34
441,Himachal Pradesh,Himachal Pradesh Technical University Hamirpur (Id: U0598),Himachal Institute of Engg. and Tech. Vidya Nagar Shahpur Kangra (Id: C11367),Kangra,Technical/Polytechnic,559,83,642,24,6,30,1,0,21.4,10.47
442,Himachal Pradesh,Himachal Pradesh Technical University Hamirpur (Id: U0598),SIRDA Institute of Engineering and Technology for Women Naulakda Troat Sunder Nagar Distt Mandi (Id: C11328),Mandi,Technical/Polytechnic,188,263,451,18,10,28,0,0,16.11,5.37
443,Himachal Pradesh,Himachal Pradesh University  Shimla (Id: U0183),Dr. Sharma Prasad Mukherjee College of Physical Education Nurpur Distt Kangra (Id: C11311),Kangra,Technical/Polytechnic,3,7,10,1,2,3,0,1,3.34,4.45
444,Himachal Pradesh,Himachal Pradesh University  Shimla (Id: U0183),Murari Lal Memorial College of Nursing Solan Distt. Solan (Id: C11310),Solan,Nursing,0,0,0,0,0,0,1,0,0,3.34
445,Himachal Pradesh,Himachal Pradesh University  Shimla (Id: U0183),Shiksha Bharti B.Ed College Kotla Khurd Distt Una (Id: C11260),Una,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
446,Himachal Pradesh,Himachal Pradesh University  Shimla (Id: U0183),Shri Lal Devi Annapurna Sanskrit College Ramsheela Lakkar Bazar Kullu (Id: C11333),Kullu,Teacher Training,0,0,0,0,0,0,0,0,0,0
447,Jammu and Kashmir,University of Jammu Jammu Tawi (Id: U0195),Shivalik College of Education (Id: C22901),Udhampur,Teacher Training,78,123,201,2,8,10,1,0,20.1,10.04
448,Jammu and Kashmir,University of Kashmir Srinagar (Id: U0196),ALAMDAR COLLEGE OF EDUCATION BARAMULLAH (Id: C45959),Baramula,Teacher Training,0,0,0,0,0,0,0,0,0,0
449,Jammu and Kashmir,University of Kashmir Srinagar (Id: U0196),FRANKLIN COLLEGE OF EDUCATION BARAMULLAH (Id: C45963),Baramula,Teacher Training,75,56,131,9,4,13,1,1,10.08,10.03
450,Jammu and Kashmir,University of Kashmir Srinagar (Id: U0196),Govt. Dental College Srinagar (Id: C21425),Srinagar,Technical/Polytechnic,90,108,198,31,11,42,0,1,4.72,4.91
451,Jammu and Kashmir,University of Kashmir Srinagar (Id: U0196),SHADAB COLLEGE OF EDUCATION SRI0GAR (Id: C46011),Srinagar,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
452,Jammu and Kashmir,University of Kashmir Srinagar (Id: U0196),SUBHAN INSTITUTE OF EDUCATIO0L TENCHNOLOGY BARAMULLAH (Id: C45973),Baramula,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
453,Jammu and Kashmir,University of Kashmir Srinagar (Id: U0196),TAHIRA KHA0MS COLLEGE OF EDUCATION SRI0GAR (Id: C46013),Srinagar,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
454,Jharkhand,NilamberPitamber University Palamu (Id: U0208),Anand Shanker Rotary B.Ed. CollegeChainpur (Id: C42764),Palamu,Teacher Training,50,50,100,6,2,8,0,1,12.5,7.5
455,Jharkhand,NilamberPitamber University Palamu (Id: U0208),Indra Singh B.Ed. CollegeGarhwa (Id: C42768),Garhwa,Teacher Training,40,60,100,8,2,10,0,1,10,6.67
456,Karnataka,Bangalore University Bangalore (Id: U0215),AE and CS Pavan College Physical Education Kolar563 101. (Id: C21083),Kolar,Teacher Training,18,16,34,6,0,6,0,1,5.67,5.23
457,Karnataka,Bangalore University Bangalore (Id: U0215),Chinmaya Institute of Management CO Chinmaya Mission Hospital CMH Road Indiranagar Bangalore 38. (Id: C20695),Bangalore,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
458,Karnataka,Bangalore University Bangalore (Id: U0215),Indira B.Ed. College Boodkiote563 114 Bangarpet Taluk Kolar District. (Id: C20628),Kolar,Teacher Training,19,21,40,6,2,8,1,1,5,8.34
459,Karnataka,Bangalore University Bangalore (Id: U0215),S.J.E.S College of Hotel Mangament Medahalli Old Madras Road Bangalore49 (Id: C21136),Bangalore,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
460,Karnataka,Bangalore University Bangalore (Id: U0215),Sri Gangarasa College of Fine Arts Kengal Channapatna571501. (Id: C20825),Ramanagara,Technical/Polytechnic,6,0,6,7,1,8,0,0,0.75,0.25
461,Karnataka,Bangalore University Bangalore (Id: U0215),University Vishweshwaraya College of Engineering (Id: C17613),Bangalore,Technical/Polytechnic,1899,822,2721,82,21,103,0,0,26.42,8.81
462,Karnataka,Davangere University Davangere (Id: U0218),Nutan College of EducationDavangere577004 (Id: C17729),Davanagere,Technical/Polytechnic,36,64,100,4,2,6,1,0,16.67,8.89
463,Karnataka,Gulbarga University Gulbarga (Id: U0219),B245 K R E Society College of Education Bidar (Id: C9261),Bidar,Teacher Training,16,33,49,4,4,8,0,0,6.13,2.05
464,Karnataka,Gulbarga University Gulbarga (Id: U0219),D494 Shivasharana Hemadri Mallama college Of Education Lingasugur (Id: C9234),Raichur,Teacher Training,0,0,0,0,0,0,0,0,0,0
465,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Aadarsha Chitrakala Mahavidyalaya Indi (Id: C26671),Bijapur,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
466,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Basaveshwara Chitrakala Mahavidyalaya Basavakalyan (Id: C26720),Bidar,Technical/Polytechnic,46,26,72,13,1,14,0,0,5.15,1.72
467,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Bharatiya Kalakendra Dharwad (Id: C26672),Dharwad,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
468,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Bhavani Lalitakala Mahavidyalaya Bellary (Id: C26688),Bellary,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
469,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Bhuvaneshwari Lalitakala Mahavidyalaya Hoovinahadagali (Id: C26669),Bellary,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
470,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Chalukya Chitrakala Mahavidyalaya Badami (Id: C26727),Bagalkot,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
471,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Chikkodi Lalitakala Mahavidyalaya Chikkodi (Id: C26665),Belgaum,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
472,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Chitrakala Mahavidyalaya Hoovinahipparagi (Id: C26738),Bijapur,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
473,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Gurupadappa Chitrakala Mahavidyalaya Muddebihal (Id: C26701),Bijapur,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
474,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Ilakal Vajrappa Chitrakala Mahavidyalaya Hosdurga (Id: C26739),Chitradurga,Technical/Polytechnic,18,17,35,5,0,5,0,1,7,5.67
475,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Karnataka Gadinadu Educational Trust Nippani (Id: C26736),Belgaum,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
476,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Nootana Lalitakala Mahavidyalaya Lingasugur (Id: C26767),Raichur,Teacher Training,0,0,0,0,0,0,0,0,0,0
477,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Nootana Lalitakala Mahavidyalaya Sindhanoor (Id: C26730),Raichur,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
478,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Priyankagandhi Fine Arts College Gulbarga (Id: C26676),Gulbarga,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
479,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Ranga Study Centre Kundapur (Id: C26680),Udupi,Technical/Polytechnic,5,2,7,14,0,14,1,0,0.5,3.5
480,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Ravindra Chitrakalaniketan Rona (Id: C26693),Gadag,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
481,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Shivayogishwara Lalitakala Mahavidyalaya Bailhongal (Id: C26663),Belgaum,Technical/Polytechnic,13,1,14,3,1,4,1,0,3.5,4.5
482,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Siddarth Lalitakala Vidyalaya Gokak (Id: C26752),Belgaum,Technical/Polytechnic,76,16,92,4,2,6,1,0,15.34,8.45
483,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),SJPD Chitrakala Mahavidyalaya Balki (Id: C26733),Bidar,Technical/Polytechnic,9,4,13,10,0,10,1,1,1.3,7.1
484,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),S.M. Pandit Fine Arts Bidar (Id: C26757),Bidar,Technical/Polytechnic,18,17,35,6,0,6,0,1,5.84,5.28
485,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Sri Jagduguru Panchachairya Chitrakala Mahavidyalaya Shimoga (Id: C26726),Shimoga,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
486,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Sri SBSS Fine Arts College Rattihalli (Id: C26654),Haveri,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
487,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),The Ideal Fine Arts Institute Gulbarga (Id: C26656),Gulbarga,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
488,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Vani Chitrakala Shale Chikkanayakanahalli (Id: C26745),Tumkur,Teacher Training,33,11,44,4,1,5,0,0,8.8,2.94
489,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Vani Chitrakala Shale Chikkanayakanahalli (Id: C26745),Tumkur,Technical/Polytechnic,33,11,44,4,1,5,1,0,8.8,6.27
490,Karnataka,Kannada University Hampi Kamalapura (Id: U0226),Vishwavinutana Chitrakala Mahavidyalaya Bagalkot (Id: C26722),Bagalkot,Technical/Polytechnic,14,3,17,1,2,3,1,0,5.67,5.23
491,Karnataka,Karnataka State Women University Bijapur (Id: U0229),JMM's Sundrabai A. Patil Education College for Women Tilakwadi Belguam590 006 (Id: C8651),Belgaum,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
492,Karnataka,Karnataka University Dharwad (Id: U0230),RTE Societys College of Education Ranebennur (Id: C35592),Haveri,Teacher Training,41,59,100,4,4,8,0,1,12.5,7.5
493,Karnataka,Karnataka University Dharwad (Id: U0230),Rural B.Ed College Sattur P.B.Road Dharwad. (Id: C35565),Dharwad,Teacher Training,66,43,109,7,1,8,0,1,13.63,7.88
