SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
87,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Mansa Polytechnic Kohka Kurud Road. Bhilai. (Id: C15672),Durg,Technical/Polytechnic,612,12,624,23,17,40,1,1,15.6,11.87
88,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Moulana Abul Kalam Azad College of Pharmacy Navdurga Nagar Mathpurena (Id: C15606),Raipur,Technical/Polytechnic,86,8,94,4,2,6,1,1,15.67,11.89
89,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),NMDC DAV Polytechnic Dantewada (Id: C15626),Dakshin Bastar Dantewada,Technical/Polytechnic,343,15,358,7,5,12,0,0,29.84,9.95
90,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Royal College of Pharmacy Sanjay Nagar Ring Road No 1 (Id: C15613),Raipur,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
91,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),SHRI SAI POLYTECHNIC DEURJHAL 0NDINI (Id: C49637),Durg,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
92,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Siddhi Vinayak Institute of Technology and Science (College of Pharmacy) Near Balram Talkies Nehru Nagar (Id: C16647),Bilaspur,Technical/Polytechnic,125,37,162,13,7,20,0,1,8.1,6.04
93,Chhatisgarh,Guru Ghasidas Vishwavidyalaya Bilaspur (Id: U0085),C.P.M. Arts/Science College Sarangarh (Id: C22337),Raigarh,Technical/Polytechnic,451,402,853,13,5,18,0,1,47.39,19.13
94,Chhatisgarh,Guru Ghasidas Vishwavidyalaya Bilaspur (Id: U0085),D.P. Vipra College of Education Bilaspur (Id: C22347),Bilaspur,Teacher Training,54,83,137,4,8,12,1,0,11.42,7.14
95,Chhatisgarh,Indira Kala Sangit Vishwavidyalaya Khairagarh (Id: U0088),Nagarpalika Sharada Sangeet MahavidyalayaKawardha 491 995 (Id: C33080),Kabeerdham,Teacher Training,0,0,0,0,0,0,0,0,0,0
96,Chhatisgarh,Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya Raipur (Id: U0089),Mahant Laximidas College Raipur (Id: C26388),Raipur,Teacher Training,0,0,0,0,0,0,0,0,0,0
97,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),Confluence College of Higher Education Rajnandgaon (Id: C21829),Rajnandgaon,Teacher Training,236,270,506,13,19,32,0,0,15.82,5.28
98,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),Dr. Rajendra Prasad Art. and Comm College Risali Bhilai (Id: C21713),Durg,Teacher Training,39,61,100,4,5,9,1,0,11.12,7.04
99,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),Govt Dr. Vaman Vasudev Patankar Girls (Id: C21647),Durg,Teacher Training,0,2180,2180,3,28,31,1,1,70.33,30.11
100,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),Indian College of Education Station Road (Id: C21749),Mahasamund,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
101,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),TakshShila Mahavidayalya Civic Center Engineers Bhawan Bhilai (Id: C21856),Durg,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
102,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),Vivekanand Education Institute Ram Krishna Parmhansh Kota (Id: C21823),Raipur,Teacher Training,40,59,99,1,5,6,1,1,16.5,12.17
103,Chhatisgarh,Sarguja University Ambikapur (Id: U0095),Ayush College of Education Marvahi Village Lohari (Id: C9763),Bilaspur,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
104,Chhatisgarh,Sarguja University Ambikapur (Id: U0095),Panchvati Mahavidyalaya Mopka (Id: C9732),Bilaspur,Technical/Polytechnic,36,24,60,3,0,3,1,1,20,13.34
105,Dadra and Nagar Haveli,Gujarat Technological University Ahmedbabd (Id: U0135),DR B B A GOVERNMENT POLYTECHNIC (Id: C47929),Dadra and Nagar Haveli,Technical/Polytechnic,540,105,645,24,7,31,1,1,20.81,13.61
106,Daman and Diu,Gujarat Technological University Ahmedbabd (Id: U0135),GOVERNMENT POLYTECHNIC DAMAN658 (Id: C48754),Daman,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
107,Delhi,Guru Gobind Singh Indraprastha University (Id: U0099),Jagan Institute of Management Studies (Rohini) (Id: C32855),North West,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
108,Delhi,Indira Kala Sangit Vishwavidyalaya Khairagarh (Id: U0088),Sangeet NiketanNew Delhi (Id: C33029),New Delhi,Technical/Polytechnic,88,248,336,5,8,13,0,0,25.85,8.62
109,Delhi,University of Delhi (Id: U0120),Daulat Ram College (Id: C6367),North,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
110,Delhi,University of Delhi (Id: U0120),School of Rehabilitation Sciences (Id: C6392),South,Teacher Training,0,0,0,0,4,4,0,0,0,0
111,Goa,Goa University Goa (Id: U0121),GOA COLLEGE OF HOSPITALITY AND CULI0RY EDUCATION CIDADEDEGOA (Id: C46325),North Goa,Technical/Polytechnic,19,3,22,4,1,5,0,0,4.4,1.47
112,Gujarat,Ahmedabad University (Id: U0122),PHYSIOTHERAPY COLLEGE FOR VISUALLY IMPAIRED (Id: C50452),Ahmadabad,Nursing,0,0,0,0,0,0,0,1,0,3.34
113,Gujarat,Anand Agricultural University Anand (Id: U0123),Polytechnic in Agricultural Engineering Dahod (Id: C7235),Dohad,Technical/Polytechnic,77,15,92,5,0,5,0,1,18.4,9.47
114,Gujarat,Anand Agricultural University Anand (Id: U0123),Polytechnic in Agriculture Vaso (Id: C7227),Kheda,Technical/Polytechnic,99,1,100,3,0,3,0,1,33.34,14.45
115,Gujarat,Anand Agricultural University Anand (Id: U0123),Polytechnic in Food Science and Home Economics  Anand (Id: C7234),Anand,Technical/Polytechnic,44,42,86,1,2,3,1,1,28.67,16.23
116,Gujarat,Anand Agricultural University Anand (Id: U0123),Sheth D.M.Polytehnic in Horticulture Vadodara (Id: C7237),Vadodara,Technical/Polytechnic,76,22,98,4,0,4,1,0,24.5,11.5
117,Gujarat,Anand Agricultural University Anand (Id: U0123),Sheth M.C.Polytehnic in Agriculture  Anand (Id: C7236),Anand,Technical/Polytechnic,83,22,105,5,0,5,0,0,21,7
118,Gujarat,Gujarat Ayurveda University Jamnagar (Id: U0133),Government Ayurved College Vadodara (Id: C6448),Vadodara,Technical/Polytechnic,26,115,141,16,17,33,0,0,4.28,1.43
119,Gujarat,Gujarat Ayurveda University Jamnagar (Id: U0133),Maharshi Patanjali Institute for Yoga Naturopathy Education and Research (Id: C6441),Jamnagar,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
