AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted Rank
C-39742,Thakur Nigamananda Mohavidyalay,Odisha,8,383,1,10,76,47.875,9.639954027
C-25624,St. Ann's P.G. College for Women,Telangana,15,209,0,10,60,13.93333333,9.643246014
C-20291,Adarsh Saraswati Sanskrit,Uttar Pradesh,2,11,0,0,60,5.5,9.644914774
C-55457,SRI VASAVI DEGREE and PG COLLEGE,Andhra Pradesh,19,815,0,10,92,42.89473684,9.664653317
C-41299,Mohammadiya Education Societys,Maharashtra,5,98,0,0,97,19.6,9.664653317
C-20453,Shri Siddheshwar Nath Adarsh,Uttar Pradesh,1,124,0,10,88,124,9.674080111
C-35604,Dr.K.S.Sharma College of Computer,Karnataka,2,0,0,10,60,0,9.675795814
C-59903,AAKAR COLLEGE,Rajasthan,6,27,0,0,45,4.5,9.683014196
C-39609,"Computer Application Centre, Link",Odisha,5,24,2,0,50,4.8,9.683194579
C-7106,S.K. Acharya Institute of Law,West Bengal,25,597,2,10,99,23.88,9.685023376
C-49080,DOCTORS INSTITUTE OF LABORATORY,Tamil Nadu,9,5,0,10,53,0.555555556,9.686171152
C-52128,"EXCELLENT COLLEGE DOIFODIA,",Madhya Pradesh,5,0,0,10,59,0,9.696165872
C-42419,TRILOKNATH SNATKOTTAR MAHAVIDYALA,Uttar Pradesh,11,844,2,10,85,76.72727273,9.708888222
C-60067,JG INSTITUTE OF LAW,Gujarat,4,120,0,0,71,30,9.710016138
C-55470,SPS ACADEMY COLLEGE OF EDUCATION,Madhya Pradesh,10,0,0,10,87,0,9.716535931
C-60576,PANCHAMRUT INSTITUTE OF NURSING,Gujarat,5,19,0,0,66,3.8,9.741614871
C-15162,SMT. SURAJMUKHI DEGREE,Uttar Pradesh,1,812,0,10,71,812,9.748048486
C-1223,Centre for Studies & Research on,Gujarat,1,11,2,0,63,11,9.753300429
C-35500,Priyadashrini Janaseva Sagar Sansthe,Karnataka,13,212,0,10,61,16.30769231,9.755579238
C-574,Nutan Gram Vidhyapeeth,Gujarat,11,216,2,0,92,19.63636364,9.768418545
C-45246,SHRI DOMBIVLI MITRA,Maharashtra,26,773,0,10,78,29.73076923,9.76938639
C-46769,CHANDRA MAULI INSTITUTE OF,Uttar Pradesh,12,15,1,0,55,1.25,9.773097534
C-45567,KOVAI MEDICAL CENTER AND,Tamil Nadu,68,635,2,10,65,9.338235294,9.774165981
C-9336,D516Shri Aditya Commerce,Karnataka,5,18,0,0,54,3.6,9.775452361
C-59901,GEETANJALI COLLEGE OF SCIENCE AND,Rajasthan,12,0,1,10,58,0,9.781140894
C-18759,Late Nirdhan Patil Vaghaye College of,Maharashtra,2,16,0,10,86,8,9.782268811
C-6734,Narsinhbhai Patel Dental College &,Gujarat,122,438,2,10,73,3.590163934,9.784454593
