AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted Rank
C-28343,"A.I.J.H.M.College, Rohtak.",Haryana,146,9221,2,10.0,36,63.15753425,950.6641
C-25284,A.J. COLLEGE OF EDUCATION,Andhra Pradesh,11,58,0,10.0,91,5.272727273,16.844664
C-43749,"A.J. College of Science and Technology,",Kerala,33,1120,0,10.0,89,33.93939394,134.13312
C-16890,"A.J. Institute of Management, Kottara",Karnataka,14,235,2,10.0,95,16.78571429,36.641884
C-25290,A.J. KALASALA,Andhra Pradesh,11,48,0,10.0,60,4.3636363639999995,12.644306
C-41493,A.J.M.V.P.Hutatma Karveer,Maharashtra,10,31,0,10.0,84,3.1,11.613144
C-15554,"A.K COLLEGE ,SHIKOHABAD,(FIROZABAD)",Uttar Pradesh,52,2103,2,10.0,75,40.44230769,232.16931
C-56473,A.K. INSTITUTE OF MANAGEMENT,Madhya Pradesh,5,63,0,10.0,71,12.6,15.032631
C-21555,A.K. VISHWANTHA REDDY,Telangana,13,193,0,10.0,75,14.84615385,30.150463
C-36543,A.K.C. COLLEGE OF ARTS &,Tamil Nadu,53,1401,2,10.0,97,26.43396226,165.02911
C-40039,"A.K.C. COLLEGE, ABHAY",Rajasthan,17,179,0,0.0,100,10.52941176,28.703913
C-26417,A.K.Chanda Law College,Assam,6,280,0,0.0,57,46.66666667,38.508377
